,Date,Symbols,value,error_value,error_ind
9310,2018-12-04,VZ,58.09000015258789,58.09000015258789,0
9311,2018-12-06,VZ,58.08000183105469,58.08000183105469,0
9312,2018-12-07,VZ,57.68000030517578,57.68000030517578,0
9313,2018-12-10,VZ,58.27000045776367,58.27000045776367,0
9314,2018-12-11,VZ,58.849998474121094,58.849998474121094,0
9315,2018-12-12,VZ,57.25,57.25,0
9316,2018-12-13,VZ,57.09000015258789,57.09000015258789,0
9317,2018-12-14,VZ,57.08000183105469,57.08000183105469,0
9318,2018-12-17,VZ,55.95000076293945,55.95000076293945,0
9319,2018-12-18,VZ,55.650001525878906,55.650001525878906,0
9320,2018-12-19,VZ,55.86000061035156,55.86000061035156,0
9321,2018-12-20,VZ,55.06999969482422,55.06999969482422,0
9322,2018-12-21,VZ,54.91999816894531,54.91999816894531,0
9323,2018-12-24,VZ,53.04999923706055,53.04999923706055,0
9324,2018-12-26,VZ,54.439998626708984,54.439998626708984,0
9325,2018-12-27,VZ,55.150001525878906,55.150001525878906,0
9326,2018-12-28,VZ,55.27000045776367,55.27000045776367,0
9327,2018-12-31,VZ,56.220001220703125,56.220001220703125,0
9328,2019-01-02,VZ,56.02000045776367,56.02000045776367,0
9329,2019-01-03,VZ,56.220001220703125,56.220001220703125,0
9330,2019-01-04,VZ,56.36000061035156,56.36000061035156,0
9331,2019-01-07,VZ,56.720001220703125,56.720001220703125,0
9332,2019-01-08,VZ,58.380001068115234,58.380001068115234,0
9333,2019-01-09,VZ,57.04999923706055,57.04999923706055,0
9334,2019-01-10,VZ,57.599998474121094,57.599998474121094,0
9335,2019-01-11,VZ,58.02000045776367,58.02000045776367,0
9336,2019-01-14,VZ,58.029998779296875,58.029998779296875,0
9337,2019-01-15,VZ,58.099998474121094,58.099998474121094,0
9338,2019-01-16,VZ,57.08000183105469,57.08000183105469,0
9339,2019-01-17,VZ,56.83000183105469,56.83000183105469,0
9340,2019-01-18,VZ,57.09000015258789,57.09000015258789,0
9341,2019-01-22,VZ,56.9900016784668,56.9900016784668,0
9342,2019-01-23,VZ,57.7599983215332,57.7599983215332,0
9343,2019-01-24,VZ,57.06999969482422,57.06999969482422,0
9344,2019-01-25,VZ,56.400001525878906,56.400001525878906,0
9345,2019-01-28,VZ,55.06999969482422,55.06999969482422,0
9346,2019-01-29,VZ,53.279998779296875,53.279998779296875,0
9347,2019-01-30,VZ,54.0,54.0,0
9348,2019-01-31,VZ,55.060001373291016,55.060001373291016,0
9349,2019-02-01,VZ,54.54999923706055,54.54999923706055,0
9350,2019-02-04,VZ,54.040000915527344,54.040000915527344,0
9351,2019-02-05,VZ,54.13999938964844,54.13999938964844,0
9352,2019-02-06,VZ,53.790000915527344,53.790000915527344,0
9353,2019-02-07,VZ,53.56999969482422,53.56999969482422,0
9354,2019-02-08,VZ,53.95000076293945,53.95000076293945,0
9355,2019-02-11,VZ,54.04999923706055,54.04999923706055,0
9356,2019-02-12,VZ,54.41999816894531,54.41999816894531,0
9357,2019-02-13,VZ,54.47999954223633,54.47999954223633,0
9358,2019-02-14,VZ,54.029998779296875,54.029998779296875,0
9359,2019-02-15,VZ,55.15999984741211,55.15999984741211,0
9360,2019-02-19,VZ,55.439998626708984,55.439998626708984,0
9361,2019-02-20,VZ,55.7599983215332,55.7599983215332,0
9362,2019-02-21,VZ,56.150001525878906,56.150001525878906,0
9363,2019-02-22,VZ,56.91999816894531,56.91999816894531,0
9364,2019-02-25,VZ,56.779998779296875,56.779998779296875,0
9365,2019-02-26,VZ,56.63999938964844,56.63999938964844,0
9366,2019-02-27,VZ,56.720001220703125,56.720001220703125,0
9367,2019-02-28,VZ,56.91999816894531,56.91999816894531,0
9368,2019-03-01,VZ,56.959999084472656,56.959999084472656,0
9369,2019-03-04,VZ,56.2400016784668,56.2400016784668,0
9370,2019-03-05,VZ,56.08000183105469,56.08000183105469,0
9371,2019-03-06,VZ,55.68000030517578,55.68000030517578,0
9372,2019-03-07,VZ,56.29999923706055,56.29999923706055,0
9373,2019-03-08,VZ,56.529998779296875,56.529998779296875,0
9374,2019-03-11,VZ,57.58000183105469,57.58000183105469,0
9375,2019-03-12,VZ,57.43000030517578,57.43000030517578,0
9376,2019-03-13,VZ,57.65999984741211,57.65999984741211,0
